dataset,instance,m,num_edges,formulation,lp_status,lp_relaxation_value,mip_objective,best_bound,mip_gap,node_count,solve_time,mip_status,solved_to_optimality,active_slots_mip,num_cliques,num_groupings
dataset1,01,35,292,F1,Optimal,6.320000000000005,8.0,8.0,0.0,1.0,1.3700001239776611,Optimal,True,9.0,,
dataset1,01,35,292,F2,Optimal,6.319999999999995,8.0,8.0,0.0,1.0,2.497999906539917,Optimal,True,9.0,143.0,
dataset1,01,35,292,F3,Optimal,7.1833333333333345,8.0,8.0,0.0,1.0,0.8220000267028809,Optimal,True,,,2573.0
dataset1,02,38,345,F1,Optimal,7.320000000000013,9.0,9.0,0.0,427.0,7.174000024795532,Optimal,True,10.0,,
dataset1,02,38,345,F2,Optimal,7.319999999999993,9.0,9.0,0.0,517.0,10.42300009727478,Optimal,True,10.0,169.0,
dataset1,02,38,345,F3,Optimal,7.920634920634921,9.0,9.0,0.0,1.0,1.1949999332427979,Optimal,True,,,2809.0
dataset1,03,40,369,F1,Optimal,7.880000000000003,9.0,9.0,0.0,137.0,6.557000160217285,Optimal,True,11.0,,
dataset1,03,40,369,F2,Optimal,7.879999999999988,9.0,9.0,0.0,231.0,4.617000102996826,Optimal,True,11.0,187.0,
dataset1,03,40,369,F3,Optimal,8.11871227364185,9.0,9.0,0.0,1.0,2.0859999656677246,Optimal,True,,,4209.0
dataset1,04,60,886,F1,Optimal,12.840000000000014,13.0,13.0,0.0,1093.0,31.240999937057495,Optimal,True,15.0,,
dataset1,04,60,886,F2,Optimal,12.839999999999975,14.0,13.0,0.07142857142857142,5006.0,120.12199997901917,TimeLimit,False,15.0,493.0,
dataset1,04,60,886,F3,Optimal,12.84,13.0,13.0,0.0,1.0,5.668999910354614,Optimal,True,,,13667.0
dataset1,05,63,947,F1,Optimal,12.399999999999986,13.0,13.0,0.0,1.0,6.299999952316284,Optimal,True,16.0,,
dataset1,05,63,947,F2,Optimal,12.399999999999991,13.0,13.0,0.0,1.0,18.121999979019165,Optimal,True,16.0,519.0,
dataset1,05,63,947,F3,Optimal,12.4,13.0,13.0,0.0,1.0,10.016000032424927,Optimal,True,,,21703.0
dataset1,06,65,1057,F1,Optimal,12.87999999999999,14.0,13.0,0.07142857142857142,4022.0,120.04300022125244,TimeLimit,False,16.0,,
dataset1,06,65,1057,F2,Optimal,12.88000000000001,14.0,13.0,0.07142857142857142,2838.0,120.23600006103516,TimeLimit,False,16.0,558.0,
dataset1,06,65,1057,F3,Optimal,12.880000000000003,13.0,13.0,0.0,11.0,23.00600004196167,Optimal,True,,,18516.0
dataset1,07,68,1109,F1,Optimal,12.680000000000017,13.0,13.0,0.0,1188.0,47.71000003814697,Optimal,True,16.0,,
dataset1,07,68,1109,F2,Optimal,12.680000000000007,13.0,13.0,0.0,1.0,80.45899987220764,Optimal,True,16.0,633.0,
dataset1,07,68,1109,F3,Optimal,12.680000000000007,13.0,13.0,0.0,1.0,16.432999849319458,Optimal,True,,,30495.0
dataset1,08,75,1380,F1,Optimal,15.35999999999999,16.0,16.0,0.0,1.0,17.869999885559082,Optimal,True,18.0,,
dataset1,08,75,1380,F2,Optimal,15.360000000000005,16.0,16.0,0.0,1.0,17.837000131607056,Optimal,True,18.0,744.0,
dataset1,08,75,1380,F3,Optimal,15.359999999999996,16.0,16.0,0.0,1.0,16.55900001525879,Optimal,True,,,34906.0
dataset1,09,75,1372,F1,Optimal,14.160000000000025,15.0,15.0,0.0,1.0,10.054999828338623,Optimal,True,17.0,,
dataset1,09,75,1372,F2,Optimal,14.16000000000002,15.0,15.0,0.0,1.0,36.85899996757507,Optimal,True,17.0,773.0,
dataset1,09,75,1372,F3,Optimal,14.159999999999998,15.0,15.0,0.0,1.0,26.06600022315979,Optimal,True,,,42680.0
dataset1,10,75,1423,F1,Optimal,14.679999999999982,15.0,15.0,0.0,1.0,22.418999910354614,Optimal,True,18.0,,
dataset1,10,75,1423,F2,Optimal,14.68000000000001,16.0,15.0,0.0625,1.0,120.08999991416931,TimeLimit,False,18.0,815.0,
dataset1,10,75,1423,F3,Optimal,14.679999999999996,15.0,15.0,0.0,1.0,17.944000005722046,Optimal,True,,,32469.0
dataset2,01,80,1584,F1,Optimal,16.319999999999983,17.0,17.0,0.0,1.0,28.05900001525879,Optimal,True,19.0,,
dataset2,01,80,1584,F2,Optimal,16.32000000000001,17.0,17.0,0.0,1.0,47.503000020980835,Optimal,True,19.0,500.0,
dataset2,02,82,1682,F1,Optimal,16.08,17.0,17.0,0.0,1.0,30.56499981880188,Optimal,True,20.0,,
dataset2,02,82,1682,F2,Optimal,16.080000000000027,17.0,17.0,0.0,1.0,26.155999898910522,Optimal,True,20.0,500.0,
dataset2,03,83,1726,F1,Optimal,16.280000000000015,17.0,17.0,0.0,1.0,41.24000000953674,Optimal,True,20.0,,
dataset2,03,83,1726,F2,Optimal,16.27999999999998,17.0,17.0,0.0,1.0,32.25500011444092,Optimal,True,20.0,500.0,
dataset2,04,87,1843,F1,Optimal,16.759999999999998,18.0,17.0,0.05555555555555555,18712.0,600.0460000038147,TimeLimit,False,19.0,,
dataset2,04,87,1843,F2,Optimal,16.760000000000048,17.0,17.0,0.0,1.0,193.09599995613098,Optimal,True,19.0,500.0,
dataset2,05,87,1867,F1,Optimal,16.599999999999994,17.0,17.0,0.0,6812.0,343.2190001010895,Optimal,True,21.0,,
dataset2,05,87,1867,F2,Optimal,16.599999999999934,17.0,17.0,0.0,1.0,133.91100001335144,Optimal,True,21.0,500.0,
dataset2,06,87,1821,F1,Optimal,17.75999999999995,18.0,18.0,0.0,16070.0,376.7420001029968,Optimal,True,20.0,,
dataset2,06,87,1821,F2,Optimal,17.759999999999955,18.0,18.0,0.0,10180.0,416.5069999694824,Optimal,True,20.0,500.0,
dataset2,07,82,1660,F1,Optimal,16.880000000000024,17.0,17.0,0.0,1235.0,109.13499999046326,Optimal,True,19.0,,
dataset2,07,82,1660,F2,Optimal,16.879999999999953,18.0,17.0,0.05555555555555555,21646.0,600.066999912262,TimeLimit,False,19.0,500.0,
dataset2,08,85,1805,F1,Optimal,16.84000000000003,17.0,17.0,0.0,3696.0,169.41299986839294,Optimal,True,20.0,,
dataset2,08,85,1805,F2,Optimal,16.839999999999975,18.0,17.0,0.05555555555555555,14702.0,600.0529999732971,TimeLimit,False,20.0,500.0,
dataset2,09,90,2032,F1,Optimal,18.00000000000003,19.0,18.0,0.05263157894736842,10955.0,600.5040001869202,TimeLimit,False,22.0,,
dataset2,09,90,2032,F2,Optimal,17.999999999999922,19.0,18.0,0.05263157894736842,7056.0,600.0790002346039,TimeLimit,False,22.0,500.0,
